Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Delta,Label
15-February-2019,1225,1248.5,1215,1243.5,1227.94888683064,641322,10318,787510636,337826,52.68,33.5,18.5,18.5,1
14-February-2019,1240.25,1242.7,1218.1,1225.5,1229.20533414434,378130,8225,464799413,68692,18.17,24.6,-14.75,-14.75,-1
13-February-2019,1261,1272.9,1235,1244.4,1259.22936554194,712025,7867,896602789,360005,50.56,37.9,-16.6,-16.5999999999999,-1
12-February-2019,1253,1272,1251.9,1256.7,1260.45953251673,435053,8373,548366701,144990,33.33,20.1,3.7,3.70000000000005,1
11-February-2019,1277,1277,1251,1253.45,1258.75521388799,330991,7547,416636647,156862,47.39,26,-23.55,-23.55,-1
8-February-2019,1287,1298.7,1272.25,1277.35,1282.20579172319,872003,9694,1118087297,527492,60.49,26.45,-9.65,-9.65000000000009,-1
7-February-2019,1310.95,1320.85,1285.8,1290.2,1302.56211400045,739962,17752,963846467,285091,38.53,35.05,-20.75,-20.75,-1
6-February-2019,1298,1316.5,1292,1309.85,1309.56703889535,1086608,16587,1422986021,521833,48.02,24.5,11.85,11.8499999999999,1
5-February-2019,1292,1304.25,1278.6,1290.3,1293.19671543612,945879,17376,1223207616,395981,41.86,25.65,-1.7,-1.70000000000005,-1
4-February-2019,1245.55,1297,1245,1291.15,1269.163733205,1105463,19155,1403013548,526974,47.67,52,45.6,45.6000000000001,1
1-February-2019,1234,1253,1225.75,1247.3,1238.35446301632,927747,15561,1148879638,499100,53.8,27.25,13.3,13.3,1
31-January-2019,1201,1229.8,1201,1227.1,1219.77194358503,620899,18129,757355180,266677,42.95,28.8,26.1,26.0999999999999,1
30-January-2019,1215,1224.9,1190.55,1194.8,1206.99449215148,450085,10108,543250116,152321,33.84,34.35,-20.2,-20.2,-1
29-January-2019,1230,1231.9,1201.6,1210.9,1211.18197763421,578115,8825,700202469,286431,49.55,30.3,-19.1,-19.0999999999999,-1
28-January-2019,1253,1255.45,1221.75,1229.6,1237.35025736569,787401,9609,974290830,207788,26.39,33.7,-23.4,-23.4000000000001,-1
25-January-2019,1250.1,1263,1236.55,1246.25,1253.50728948276,516086,11215,646917563,133069,25.78,26.45,-3.85,-3.84999999999991,-1
24-January-2019,1225.05,1251.75,1220.1,1245.4,1240.62875277401,946733,16585,1174544181,324758,34.3,31.65,20.35,20.3500000000001,1
23-January-2019,1233.4,1244,1222.5,1225.7,1232.76891657452,419632,7946,517309286,145350,34.64,21.5,-7.7,-7.70000000000005,-1
22-January-2019,1234,1246.25,1219.4,1234.75,1233.82095041812,1241159,19614,1531367977,491297,39.58,26.85,0.75,0.75,1
21-January-2019,1193.9,1237.4,1189.75,1234.5,1223.84425744275,1461187,30093,1788265319,311010,21.28,47.65,40.6,40.5999999999999,1
18-January-2019,1149.7,1189.25,1135.5,1182.95,1164.45300601612,1808806,32839,2106269584,481746,26.63,53.75,33.25,33.25,1
17-January-2019,1141,1147.8,1129.1,1133.75,1135.8716645129,776161,12737,881619287,320013,41.23,18.7,-7.25,-7.25,-1
16-January-2019,1134.7,1144.65,1130.25,1134.05,1138.13341785208,465380,9362,529664530,130499,28.04,14.4,-0.65,-0.650000000000091,-1
15-January-2019,1103.2,1132.3,1103.2,1129.55,1124.19438128404,661895,12574,744098640,316805,47.86,29.1,26.35,26.3499999999999,1
14-January-2019,1096.7,1102,1086.25,1096.45,1092.91165801101,258020,5879,281993066,94567,36.65,15.75,-0.25,-0.25,-1
11-January-2019,1109.3,1114,1089.5,1097.9,1099.17106009337,477873,8840,525264172,121689,25.46,24.5,-11.4,-11.3999999999999,-1
10-January-2019,1108.4,1110.65,1102.1,1105.65,1105.41690572563,203576,3977,225036352,74180,36.44,8.55,-2.75,-2.75,-1
9-January-2019,1111.9,1116,1098.5,1108.4,1109.59181073972,338370,7291,375452581,72511,21.43,17.5,-3.5,-3.5,-1
8-January-2019,1106.35,1109.9,1096.1,1103.95,1101.60809826797,513616,6328,565803545,277431,54.02,13.8,-2.4,-2.39999999999986,-1
7-January-2019,1105.15,1117.95,1101,1103.45,1109.60205818326,303180,6341,336409152,88316,29.13,16.95,-1.7,-1.70000000000005,-1
4-January-2019,1098,1104.35,1081.25,1099.05,1093.86070323022,397992,9088,435347809,105150,26.42,23.1,1.05,1.04999999999995,1
3-January-2019,1108.05,1114.45,1089.65,1091.75,1100.4667997961,357046,9329,392917269,95474,26.74,24.8,-16.3,-16.3,-1
2-January-2019,1116,1126.75,1101.45,1106.3,1112.25626975764,322660,7052,358880608,78233,24.25,25.3,-9.7,-9.70000000000005,-1
1-January-2019,1126,1130,1111.55,1121.35,1118.85577224533,264741,6178,296206996,70943,26.8,18.45,-4.65,-4.65000000000009,-1
31-December-2018,1127.15,1133.4,1116.6,1121.05,1122.60746938528,264252,5537,296651269,64647,24.46,16.8,-6.1,-6.1,-1
28-December-2018,1123.3,1135.9,1122,1125.8,1129.83211125748,343132,7868,387681552,87263,25.43,13.9,2.5,2.5,1
27-December-2018,1105,1125.9,1104.45,1120,1119.31781570146,454773,11609,509035521,111874,24.6,21.45,15,15,1
26-December-2018,1087,1100.65,1066.55,1096.95,1081.03361597564,474923,12592,513407728,84857,17.87,34.1,9.95,9.95,1
24-December-2018,1101.8,1103,1086.5,1090.05,1093.66072161556,270421,6340,295748826,57737,21.35,16.5,-11.75,-11.75,-1
21-December-2018,1128.3,1131.4,1095,1098.35,1109.69298290777,835175,11407,926787837,517822,62,36.4,-29.95,-29.95,-1
20-December-2018,1124,1131.95,1116.5,1127.25,1125.20947171338,306576,8623,344962219,75601,24.66,15.45,3.25,3.25,1
19-December-2018,1138.65,1146.55,1131.4,1137.1,1141.17995549488,1116276,7385,1273871796,877394,78.6,15.15,-1.55,-1.55,-1
18-December-2018,1122,1139.5,1120.8,1136.45,1130.63283123414,300671,6444,339948504,57121,19,18.7,14.45,14.45,1
17-December-2018,1114.7,1133.8,1110.3,1130.6,1125.27180257373,374864,8112,421823889,83652,22.32,23.5,15.9,15.9,1
14-December-2018,1103.9,1115,1092.6,1111.75,1107.23581668515,384977,8605,426260323,70910,18.42,22.4,7.85,7.85,1
13-December-2018,1125.6,1126.35,1096.55,1106.8,1110.67379536179,632140,11297,702101333,287519,45.48,29.8,-18.8,-18.8,-1
12-December-2018,1100,1113.35,1088.1,1110.5,1099.23131761574,1035909,11812,1138703615,607762,58.67,25.25,10.5,10.5,1
11-December-2018,1066.1,1100.2,1055.35,1096.2,1079.16819295487,957115,20943,1032888065,229901,24.02,44.85,30.1,30.1,1
10-December-2018,1112.65,1112.75,1084,1088.5,1090.92325810221,1104729,16559,1205174560,762774,69.05,28.75,-24.15,-24.15,-1
7-December-2018,1132.8,1135.2,1109.1,1133.25,1125.91138563204,256042,6870,288280603,63497,24.8,26.1,0.45,0.45,1
6-December-2018,1147.5,1147.85,1118.25,1123.45,1135.89411065798,249128,8001,282983028,69192,27.77,29.6,-24.05,-24.05,-1
5-December-2018,1144.7,1159,1139.6,1154.85,1150.49594883683,268318,6005,308698772,70546,26.29,19.4,10.15,10.15,1
4-December-2018,1157,1157.4,1142.95,1151.55,1149.31719264279,206600,4741,237448932,34752,16.82,14.45,-5.45,-5.45,-1
3-December-2018,1172.05,1174,1148.65,1156.3,1158.38192020803,292260,8019,338548700,79862,27.33,25.35,-15.75,-15.75,-1
30-November-2018,1172,1186,1162.95,1168.2,1173.56939154923,454515,16103,533404892,118071,25.98,23.05,-3.8,-3.8,-1
29-November-2018,1159,1179.9,1158.8,1170,1171.96529009497,413830,14828,484994396,116134,28.06,21.1,11,11,1
28-November-2018,1132.3,1157.7,1126.5,1146.25,1139.617156919,1098006,17132,1251306476,169921,15.48,31.2,13.95,13.95,1
27-November-2018,1109.5,1129.4,1101.7,1127.5,1122.57915518338,264152,6556,296531529,61921,23.44,27.7,18,18,1
26-November-2018,1109.95,1117.25,1098.05,1109.6,1107.73330162227,279608,6373,309731093,66919,23.93,19.2,-0.35,-0.35,-1
22-November-2018,1114.7,1125.1,1100,1102.85,1112.90651870402,360992,8015,401750350,76688,21.24,25.1,-11.85,-11.85,-1
21-November-2018,1137,1145.4,1107.05,1112.3,1115.36593848168,499461,9198,557081787,192693,38.58,38.35,-24.7,-24.7,-1
20-November-2018,1146,1155.45,1130.4,1138.65,1141.2939711634,472247,6805,538972654,64810,13.72,25.05,-7.35,-7.35,-1
19-November-2018,1132,1151.4,1131.2,1149.6,1141.13049504758,514395,13163,586991821,215124,41.82,20.2,17.6,17.6,1
16-November-2018,1096.1,1129.3,1096.1,1127.5,1122.16691751357,702952,14307,788829479,161502,22.97,33.2,31.4,31.4,1
15-November-2018,1096,1102.85,1087.1,1096.9,1094.98475845132,286257,6454,313447052,52445,18.32,15.75,0.9,0.9,1
14-November-2018,1105,1112.85,1087,1096.1,1098.05118750342,420083,8532,461272637,88950,21.17,25.85,-8.9,-8.9,-1
13-November-2018,1075.9,1102.8,1071,1099.55,1090.26542775069,363436,8299,396241706,83791,23.06,31.8,23.65,23.65,1
12-November-2018,1098.5,1100.05,1074.3,1078.75,1085.91592710443,259275,7060,281550852,73519,28.36,25.75,-19.75,-19.75,-1
9-November-2018,1106,1113.3,1086,1093.35,1100.43259243653,379720,7920,417856264,94582,24.91,27.3,-12.65,-12.65,-1
7-November-2018,1116.8,1117,1106.6,1110.55,1110.66007255527,99786,3836,110828326,42586,42.68,10.4,-6.25,-6.25,-1
6-November-2018,1094.3,1111.95,1093.05,1103.45,1104.36926774449,661149,11150,730152637,249829,37.79,18.9,9.15,9.15,1
5-November-2018,1074,1093.5,1064.5,1088.55,1072.58955031998,5052059,14534,5418785691,4346186,86.03,29,14.55,14.55,1
2-November-2018,1067.8,1081,1063,1074.25,1069.77422683906,4308094,14539,4608687928,3619191,84.01,18,6.45,6.45,1
1-November-2018,1066.4,1068.8,1050.3,1056.9,1058.48901709749,393976,9454,417019269,85260,21.64,18.5,-9.5,-9.5,-1
31-October-2018,1064.7,1065.7,1047.65,1061.4,1061.40670493929,3153168,10980,3346793657,2709209,85.92,18.05,-3.3,-3.3,-1
30-October-2018,1087.45,1087.45,1052,1057.15,1064.76508494435,558189,13384,594340158,138891,24.88,35.45,-30.3,-30.3,-1
29-October-2018,1047.7,1093.15,1047,1088,1071.35259662298,535561,12329,573774668,114234,21.33,46.15,40.3,40.3,1
26-October-2018,1040,1056.75,1022.15,1044.7,1043.70057188723,647855,14144,676166634,89817,13.86,34.6,4.7,4.7,1
25-October-2018,1036,1040.05,1017,1030.2,1029.14834257712,704437,17801,724970171,193416,27.46,23.05,-5.8,-5.8,-1
24-October-2018,1074,1074.95,1031,1046.6,1049.1745304564,584557,13935,613302316,160476,27.45,43.95,-27.4,-27.4,-1
23-October-2018,1053,1064.5,1043.7,1052.6,1053.38920646838,527427,12615,555585909,141338,26.8,20.8,-0.4,-0.4,-1
22-October-2018,1111,1114.8,1057.35,1062.45,1081.49080383684,646574,19144,699263835,211879,32.77,57.45,-48.55,-48.55,-1
19-October-2018,1103.9,1110,1073.15,1101.65,1091.48371748372,1461537,29562,1595243838,655286,44.84,36.85,-2.25,-2.25,-1
17-October-2018,1180,1180.95,1141,1148.9,1168.24776994796,1452993,15094,1697455832,898169,61.82,39.95,-31.1,-31.1,-1
16-October-2018,1146.15,1168,1140.8,1163.65,1155.50597589832,464449,11757,536673595,118255,25.46,27.2,17.5,17.5,1
15-October-2018,1133.3,1146.35,1119.25,1139.8,1137.46652018041,397762,12777,452440958,75084,18.88,27.1,6.5,6.5,1
12-October-2018,1102.5,1129,1102,1126.4,1121.24850931621,446104,11160,500193445,104315,23.38,27,23.9,23.9,1
11-October-2018,1067.8,1114.4,1043.05,1089.2,1086.15292717374,765397,17702,831338192,142520,18.62,71.35,21.4,21.4,1
10-October-2018,1095,1114.7,1085.1,1102.35,1101.45999817157,404719,10879,445781789,67328,16.64,29.6,7.35,7.35,1
9-October-2018,1121.1,1123.5,1080.75,1090.4,1103.02946478964,620130,16031,684021662,125017,20.16,42.75,-30.7,-30.7,-1
8-October-2018,1048.85,1115.35,1025.2,1107.95,1083.82085832768,1330634,31974,1442168884,276727,20.8,90.15,59.1,59.1,1
5-October-2018,1102.6,1115.55,1039.55,1049.85,1078.7816619049,1164483,37869,1256222906,271825,23.34,76,-52.75,-52.75,-1
4-October-2018,1199,1199,1105.05,1120.55,1140.90070533507,1482416,42726,1691289460,459995,31.03,93.95,-78.45,-78.45,-1
3-October-2018,1233.1,1239.75,1198.7,1205.3,1216.42948415621,430421,11873,523576795,130256,30.26,41.05,-27.8,-27.8,-1
1-October-2018,1258.2,1260,1204.3,1231.55,1227.09517253413,366797,9965,450094828,66461,18.12,55.7,-26.65,-26.65,-1
28-September-2018,1260,1271.1,1247.65,1258.2,1256.21381133287,648062,12202,814104435,339361,52.37,23.45,-1.8,-1.8,-1
27-September-2018,1259.8,1263.25,1238.6,1252.9,1251.81954769443,389427,9977,487492331,85334,21.91,24.65,-6.9,-6.9,-1
26-September-2018,1235.2,1254.1,1226.8,1251.75,1240.60731450908,337685,8887,418934481,131410,38.91,27.3,16.55,16.55,1
25-September-2018,1233.3,1244.9,1195.75,1230.6,1226.82088995524,396784,14124,486782900,73170,18.44,49.15,-2.7,-2.7,-1
24-September-2018,1216,1239.9,1204.25,1232.3,1224.7875494596,451884,14400,553461897,192393,42.58,35.65,16.3,16.3,1
21-September-2018,1220.05,1237.1,1183.2,1216.85,1223.28833223863,566364,14105,692826473,202323,35.72,53.9,-3.2,-3.2,-1
19-September-2018,1225,1227,1201.2,1210.3,1210.64565434449,861320,13027,1042753315,501202,58.19,25.8,-14.7,-14.7,-1
18-September-2018,1224,1238.9,1214.25,1217.2,1228.18492438338,314415,9624,386159763,81647,25.97,24.65,-6.8,-6.8,-1
17-September-2018,1251.9,1251.9,1220.5,1226.25,1233.11159564458,371950,10206,458655858,100654,27.06,31.4,-25.65,-25.65,-1
14-September-2018,1261,1275,1248.55,1252.8,1257.86369506848,294230,7446,370101235,79267,26.94,26.45,-8.2,-8.2,-1
12-September-2018,1244.45,1257.65,1229.85,1252.7,1243.49980948648,459285,9593,571120810,62561,13.62,27.8,8.25,8.25,1
11-September-2018,1260,1267.75,1235,1238.45,1252.89471757394,366025,9979,458590789,82487,22.54,32.75,-21.55,-21.55,-1
10-September-2018,1275,1276.75,1251.55,1257.15,1263.68719522314,343489,9264,434062651,71284,20.75,25.2,-17.85,-17.85,-1
7-September-2018,1267.7,1279.9,1254.85,1276.75,1271.42346398305,430464,10897,547302030,91640,21.29,25.05,9.05,9.05,1
6-September-2018,1230,1263.8,1226,1260.15,1245.31005691038,558949,12177,696064811,102255,18.29,37.8,30.15,30.15,1
5-September-2018,1245,1252.45,1210,1225.8,1228.88942092061,1203980,17285,1479558285,596628,49.55,42.45,-19.2,-19.2,-1
4-September-2018,1235,1254.75,1230,1242.35,1241.18909812929,433632,10816,538219311,65432,15.09,24.75,7.35,7.35,1
3-September-2018,1249,1258,1227.5,1230.4,1244.6176728124,1220847,12950,1519487752,793456,64.99,30.5,-18.6,-18.6,-1
